v1_column,v2_column,change_type
"/DataEnvelope/BasicMetadata/accessLicenses/access/accessRestricted/url","/DataEnvelope/DatasetMetadata/RightsStatement/AccessDetails/url","moved"
"/DataEnvelope/BasicMetadata/accessLicenses/access/accessRestricted/contactEmail","/DataEnvelope/DatasetMetadata/RightsStatement/AccessDetails/contactEmail","moved"
"/DataEnvelope/BasicMetadata/accessLicenses/access/accessRestricted/accessPrerequisites","/DataEnvelope/DatasetMetadata/RightsStatement/AccessDetails/accessPrerequisites","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/version/currentVersion","/DataEnvelope/DatasetMetadata/VersionMaintenance/Version/currentVersion","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/version/lastUpdated","/DataEnvelope/DatasetMetadata/VersionMaintenance/Version/lastUpdated","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/version/releaseDate","/DataEnvelope/DatasetMetadata/VersionMaintenance/Version/releaseDate","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/maintenance/maintenanceStatus","/DataEnvelope/DatasetMetadata/VersionMaintenance/Maintenance/maintenanceStatus","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/maintenancePlan/updates","/DataEnvelope/DatasetMetadata/VersionMaintenance/MaintenancePlan/updates","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/maintenancePlan/feedback","/DataEnvelope/DatasetMetadata/VersionMaintenance/MaintenancePlan/Comments/comment","renamed"
"/DataEnvelope/BasicMetadata/versionMaintenance/nextUpdate/versionAffected","/DataEnvelope/DatasetMetadata/VersionMaintenance/NextUpdate/versionAffected","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/nextUpdate/nextUpdate","/DataEnvelope/DatasetMetadata/VersionMaintenance/NextUpdate/nextUpdate","moved"
"/DataEnvelope/BasicMetadata/versionMaintenance/nextUpdate/nextVersion","/DataEnvelope/DatasetMetadata/VersionMaintenance/NextUpdate/nextVersion","moved"
"/DataEnvelope/BasicMetadata/feedbackElaboration/feedbackSectionTwo","/DataEnvelope/DatasetMetadata/Comments/comment","renamed"
"/DataEnvelope/Data/DataResourceDescription/nameOfResource","/DataEnvelope/Data/DataResourceDescription/nameOfResource","unchanged"
"/DataEnvelope/Data/DataResourceDescription/Description","/DataEnvelope/Data/DataResourceDescription/description","renamed"
"/DataEnvelope/Data/DataResourceDescription/path","/DataEnvelope/Data/DataResourceDescription/path","unchanged"
"/DataEnvelope/Data/DataResourceDescription/format","/DataEnvelope/Data/DataResourceDescription/format","unchanged"
"/DataEnvelope/Data/DataResourceDescription/size","/DataEnvelope/Data/DataResourceDescription/size","unchanged"
"/DataEnvelope/Data/DataResourceDescription/date","/DataEnvelope/Data/DataResourceDescription/date","unchanged"
"/DataEnvelope/Data/DataResourceDescription/language","/DataEnvelope/Data/DataResourceDescription/language","unchanged"
"/DataEnvelope/Data/DataResourceDescription/encoding","/DataEnvelope/Data/DataResourceDescription/encoding","unchanged"
"/DataEnvelope/Data/DataResourceDescription/dataSubjects/Subjects","/DataEnvelope/Data/DataResourceDescription/DataSubjects/subjects","renamed"
"/DataEnvelope/Data/DataResourceDescription/dataSubjects/other","/DataEnvelope/Data/DataResourceDescription/DataSubjects/other","moved"
"/DataEnvelope/Data/DataResourceDescription/dataModality/modality","/DataEnvelope/Data/DataResourceDescription/DataModality/modality","moved"
"/DataEnvelope/Data/DataResourceDescription/dataModality/other","/DataEnvelope/Data/DataResourceDescription/DataModality/otherTerm/term","renamed"
"/DataEnvelope/Data/DataResourceDescription/descriptiveStatistics/statistics","/DataEnvelope/Data/DataResourceDescription/DescriptiveStatistics/statistics","moved"
"/DataEnvelope/Data/dataFields/dataField/dataFieldName","/DataEnvelope/Data/DataFields/DataField/dataFieldName","moved"
"/DataEnvelope/Data/dataFields/dataField/dataFieldType","/DataEnvelope/Data/DataFields/DataField/dataFieldType","moved"
"/DataEnvelope/Data/dataFields/dataField/descriptionField","/DataEnvelope/Data/DataFields/DataField/descriptionField","moved"
"/DataEnvelope/Data/dataFields/dataField/sensitivity","/DataEnvelope/Data/DataFields/DataField/sensitivity","moved"
"/DataEnvelope/Data/dataFields/dataField/notableFeatures","/DataEnvelope/Data/DataFields/DataField/notableFeatures","moved"
"/DataEnvelope/Data/dataFields/dataField/usedVocabularies/vocabulary","/DataEnvelope/Data/DataFields/DataField/UsedVocabularies/vocabulary","moved"
"/DataEnvelope/Data/dataFields/dataField/usedVocabularies/vocabularyLink","/DataEnvelope/Data/DataFields/DataField/UsedVocabularies/vocabularyLink","moved"
"/DataEnvelope/Data/dataExamples/typicalExample/description","/DataEnvelope/Data/DataExamples/TypicalExample/description","moved"
"/DataEnvelope/Data/dataExamples/typicalExample/link","/DataEnvelope/Data/DataExamples/TypicalExample/link","moved"
"/DataEnvelope/Data/dataExamples/atypicalExample/atypdescription","/DataEnvelope/Data/DataExamples/AtypicalExample/atypdescription","moved"
"/DataEnvelope/Data/dataExamples/atypicalExample/atyplink","/DataEnvelope/Data/DataExamples/AtypicalExample/atyplink","moved"
"/DataEnvelope/Data/errors/errordescription","/DataEnvelope/Data/Errors/errordescription","moved"
"/DataEnvelope/Data/externalResources/resources","/DataEnvelope/Data/ExternalResources/resources","moved"
"/DataEnvelope/Data/externalResources/extResources","/DataEnvelope/Data/ExternalResources/extResources","moved"
"/DataEnvelope/Data/annotations/annotationCharacteristics/annotationWorkforceType","/DataEnvelope/Data/Annotations/AnnotationCharacteristics/annotationWorkforceType","moved"
"/DataEnvelope/Data/annotations/annotationCharacteristics/others","/DataEnvelope/Data/Annotations/AnnotationCharacteristics/others","moved"
"/DataEnvelope/Data/annotations/annotationCharacteristics/description","/DataEnvelope/Data/Annotations/AnnotationCharacteristics/description","moved"
